" is out of stock!"," нема на залиха!"
"404 Page Not Found","404 Страната не е пронајдена"
"Account data has successfully been updated","Податоците на сметката се успешно ажурирани"
"Add review","Додадете коментар"
"Adding a review ...","Додавање коментар ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Адресата внесена при исплата содржи невалидни податоци. Ве молиме проверете дали сите полиња се пополнети и контактирајте нé на {email} за да нема проблем во иднината. Вашата нарачка е одбиена."
"Allow notification about the order","Дозволете нотификации за нарачката"
"Are you sure you would like to remove this item from the shopping cart?","Дали сте сигурни дека сакате да го отстраните прозводот од Вашата кошничка?"
"Checkout","Исплата"
"Columns","Колони"
"Compare Products","Споредете Производи"
"Compare products","Споредете производи"
"Confirm your order","Потврдете ја Вашата нарачката"
"Error refreshing user token. User is not authorized to access the resource","Грешка при освежување на кориснички токен. Корисникот нема дозвола да пристапи до ресурсот"
"Error with response - bad content-type!","Грешка при одговор - лоша содржина!"
"Error: Error while adding products","Грешка: Грешка при додавање продукти"
"Extension developers would like to thank you for placing an order!","Развивачите ви се заблагодаруваат за нарачката!"
"Field is required","Полето е задолжително"
"Field is required.","Полето е задолжително."
"Grand total","Вкупно"
"Home Page","Почетна страна"
"In stock!","На залиха!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Интерен проблем при освежување на токените. Ве молиме испразнете го просторот и освежете ја страната."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Интерна грешка при валидација. Проверете дали сите полиња се пополнети. Контактирајте нé на {email}"
"Must be greater than 0","Мора да е поголемо од 0"
"My Account","Мој Профил"
"Newsletter preferences have successfully been updated","Преференците за пошта се успешно ажурирани"
"No available product variants","Нема понудени варијанти за производот"
"No products synchronized for this category. Please come back while online!","Нема синхронизирани производи за оваа категорија. Ве молиме вратете се додека е online!"
"No such configuration for the product. Please do choose another combination of attributes.","Не постои таква конфигурација за производот. Ве молиме изберете нова комбинација атрибути."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Само {maxQuantity} производи од овој тип се достапни!"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Или ако останете на страната за ""Потвдра на нарачка"", нарачката автоматски ќе биде поставена без потврда откако се врати интернет конекцијата."
"Out of stock!","Нема на залиха!"
"Out of the stock!","Нема залиха!"
"Payment Information","Информации за наплата"
"Please configure product bundle options and fix the validation errors","Ве молиме конфигурирајте ги нагодувањата за пакетот и исправете ги грешките при валидација"
"Please configure product custom options and fix the validation errors","Ве молиме конфигурирајте ги Вашите опции за производот и исправете ги грешките при валидација"
"Please confirm order you placed when you was offline","Ве молиме потврдете ја нарачката која ја поставивте додека бевте Offline"
"Please fix the validation errors","Ве молиме исправете ги грешките при валидација"
"Please select the field which You like to sort by","Ве молиме одберете го полето според кое ќе подредувате"
"Please wait ...","Ве молиме почекајте ..."
"Proceed to checkout","Продолжете со нарачката"
"Processing order...","Процесирање нарачка..."
"Product has been added to the cart!","Производот е додаден во кошничка!"
"Product price is unknown, product cannot be added to the cart!","Цената за производот е непозната, не може да биде додаден во кошничката!"
"Product quantity has been updated!","Количината на производот е ажурирана!"
"Product {productName} has been added to the compare!","Производот {productName} е додаден во споредбата!"
"Product {productName} has been added to wishlist!","Производот {productName} е додаден во листата на посакувани производи!"
"Product {productName} has been removed from compare!","Производот {productName} е отстранет од споредбата!"
"Product {productName} has been removed from wishlist!","Производот {productName} е отстранет од листата на посакуани производи!"
"Quantity available offline","Количината достапна offline"
"Quantity available","Количина ({qty} достапни)"
"Quantity must be above 0","Количината мора да е над 0"
"Quantity must be below {quantity}","Количината мора да е под {quantity}"
"Quantity must be positive integer","Количината мора да е позитивен број"
"Registering the account ...","Регистрирање на профилот ..."
"Reset password feature does not work while offline!","не може да се промени лозинката додека сте offline!"
"Review","Преглед"
"Reviews","Прегледи"
"Select 0","Одбери 0"
"Select 1","Одбери 1"
"Shopping cart is empty. Please add some products before entering Checkout","Кошничката е празна. Ве молиме додадете прозводи пред нарачка"
"Some of the ordered products are not available!","Некои од нарачаните производи не се достапни!"
"Stock check in progress, please wait while available stock quantities are checked","Робата се проверува, ве молиме почекајте додека се проверуваат достапните количини"
"Subtotal incl. tax","Вкупно со ддв"
"Summary","Збирно"
"The product is out of stock and cannot be added to the cart!","Производот не е на залиха и не може да се додаде во кошничката!"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","Производот, категоријата или CMS страната не е достапна додека сте Offline. Пренасочување до Почетна Страна."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Системот не е сигурен за количината на производот. Производот е додаден во кошничката за пред-резервација."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Нема Интернет Конекција. Сé уште можете да поставите нарачка. Ќе ве известиме ако некои од нарачаните производите се недостапни наскоро."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Оваа функција сé уште не е додадена! Ве молиме погледнете тука https://github.com/DivanteLtd/vue-storefront/issues за нашиот Roadmap!"
"Thumbnail","Thumbnail"
"Type what you are looking for...","Барај..."
"Unexpected authorization error. Check your Network conection.","Неочекувана грешка при авторизација. Проверете ја вашата конекција."
"Unhandled error, wrong response format!","Грешка, грешен формат на одговор!"
"Vue Storefront", "Vue Storefront"
"You are going to pay for this order upon delivery.","Наплатата ќе биде извршена при испорака."
"You are logged in!","Најавени сте!"
"You are to pay for this order upon delivery.","Наплатата ќе биде извршена при испорака."
"You need to be logged in to see this page","Мора да бидете најавени за да ја прегледате страната."
"You submitted your review for moderation.","Го испративте вашиот коментар за модерација."
"You're logged out","Одјавени сте"
"email","email"
"have as many","have as many"
"login","најава"
"most you may purchase","најмногу што можете да купите"
"not authorized","немате дозвола"
"password","лозинка"
"to account","до профилот"
